"Age","Income","Loan.Amount.Request","Current.Loan.Expenses","Credit.Score","Property.Price","Loan.Sanction.Amount"
30,2165.87,53106.96,162.12,739.885381135809,64680.13,34519.52
37,2453.28,79909.09,397.51,773.58,123005.34,59931.82
28,3131.48,102536.42,557.03,669.4,150194.71,71775.49
18,3496.45,136037.97,604.69,831.56,237410.99,95226.58
65,2123.95,79442.15,381.79,684.07,138667.33,55609.5
64,967.86,47048.96,240.63,671.05,52018.51,32934.27
33,1491.84,98757.66,296.19,761.02,133896.96,69130.36
52,2182.76,138081.27,552.45,717.7,210008.23,89752.83
53,2867.54,88735.89,313.55,807.11,133217.88,0
42,2462.09,262719.4,702.81,798.13,336636.4,183903.58
32,2356.9,141950.43,371.69,739.885381135809,257724.9,92267.78
64,6161.03,41219.31,199.82,644.13,62932.33,0
61,2526.36,42747.02,223.99,765.5,63815.66,34197.62
18,2276.44,59606.76,290.99,846.2,66854.51,-999
51,6014.8,137881.43,704.56,758.89,201934.97,96517
62,2990.52,27568.48,211.08,657.53,48938.58,0
21,2836.78,123359.81,608.46,683.77,188339.8,80183.88
41,967.1,77009.45,403.1,764.3,87972.1,0
36,2142.63,47814.96,261.43,847.83,83481.6,35861.22
42,1239.81,28781.77,197.86,745.39,34640.81,18708.15
31,1973.51,145343.2,927.59,841.12,256615.01,101740.24
18,2123.95,23807.1,123.46,682.32,43868.75,15474.62
35,3048.84,86281.74,635.82,779.09,133711.7,60397.22
36,1256.46,87663,501.31,760.06,149690.69,61364.1
18,1804.62,138931.88,488.59,782.31,156867.8,111145.5
64,3637.7,23811.63,162.44,811.11,40867.64,19049.3
18,1146.99,26279.47,132.24,610.31,44808.44,0
26,4338.52,106168.08,327.38,739.885381135809,164951.03,74317.66
31,3181.79,56230.74,378.54,603.11,64656.86,0
43,2532.51,6189.5,34.04,728.51,8406.79,4023.18
62,2334.17,174980.55,639.42,689.17,322776.3,113737.36
52,5023.72,102610.53,762.16,792.47,148807.35,76957.9
38,2021.12,281022.99,947.45,677.18,519776.2,0
51,2021.96,114273.33,375.55,720.3,185723.98,79991.33
48,3404.88,35677.5,358.57,851.44,49569.03,35677.5
37,3268.08,113861.07,480.68,738.18,171731.49,79702.75
43,1637.51,75095.84,417.84,815.75,114087.85,60076.67
26,5445.6,81490.74,1118.79,722.17,132436.48,57043.52
43,2165.87,99316.11,367.34,707.82,133883.38,64555.47
51,2470.74,105866.95,834.14,651.64,146419.13,74106.86
44,2123.95,114392.28,376.31,708.88,211999.08,74354.98
21,2137.01,201716.39,498.39,804.32,233893.63,141201.47
40,2435.91,60339,206.84,725.33,72861.07,0
18,1893.91,113175,383.49,825.06,167022.14,84881.25
55,2755.69,39048.36,332.61,650.09,67755.7,25381.43
29,2562.95,27599.48,144.97,634.94,31176.34,0
50,2123.95,124136.37,324.74,665.98,142154.35,86895.46
50,2165.87,112900.61,542.32,801.33,189468.38,90320.49
44,3466.88,161020.8,700.37,788.67,194231.61,128816.64
60,3462.78,91715.54,271.26,873.28,110304.39,68786.66
37,1631.16,53926.02,159.06,652.46,93484.83,35051.91
23,1970.12,45332.69,295.74,655.33,68462.61,31732.88
65,911.24,31484.72,176.33,851.02,57401.5,23613.54
64,1857.54,82812.81,373.03,640.74,111218.06,0
18,1098.18,77512.02,346.47,668.87,129330.82,50382.81
19,1385.55,39445.27,233.36,746.84,65250.01,0
57,4244.06,89707.55,471.27,721.5,161982.05,62795.28
65,2662.74,126470.1,407.09,774.11,205775.77,94852.58
34,2940.62,37359.33,191.58,842.73,58296.16,29887.46
56,1208.54,34278.64,199.7,694.28,57338.99,0
43,1935.49,109313.69,459.13,650.39,143224.2,76519.58
56,4252.56,155846.86,465.13,824.43,199451.96,109092.8
46,824,28762.4,173.77,770.16,54258.63,23009.92
18,1497.23,30847.01,148.33,594.84,56421.47,0
64,2534.74,130784.86,632.41,791.81,169766.07,98088.64
18,3089.34,81979.03,395.75,652.28,101688.7,53286.37
25,1973.51,67406.4,339.62,713.59,98777.13,43814.16
22,8556.16,278598.47,891.23,804.33,485963.49,0
59,997.39,26045.14,137.21,739.885381135809,46802.31,19533.86
65,3320.45,93722.31,320.44,805.44,134052.11,65605.62
26,1272.64,27915.27,132.96,673.66,39834.37,19540.69
58,2526.36,31073.48,214.31,658.98,39487.19,20197.76
54,1973.51,24805.62,125.15,675.64,44287.49,17363.93
44,2030.99,26802.03,138.45,688.22,36179.99,17421.32
44,993.21,26814.58,126.58,679.23,36037.73,0
51,10522.61,74659.88,372.09,784.69,95932.16,0
28,3492.47,94213.04,360.24,639.03,172745.34,0
38,2289.23,87458.42,218.35,615.21,129017.76,0
47,2898.53,37650.79,230.72,784.91,42259.04,26355.55
60,3647.48,92025.17,271.1,758.65,119475.01,69018.88
59,1622.56,111344.39,339.39,753.71,193871.13,0
27,1973.51,61649.37,500.62,768.21,91110.67,43154.56
65,1815.74,96950.29,478.46,739.885381135809,107850.7,77560.23
64,5939.78,290858.74,856.03,870.22,491475.67,218144.06
29,2915.93,68159.89,451.18,739.885381135809,75697.92,47711.92
18,5219.66,94710.9,508.81,725.63,154216.44,66297.63
57,1535.99,37827.74,326.07,797.94,60495.08,0
24,1689.23,21300.04,165.04,683.05,28328.25,14910.03
48,3019.18,125147.71,932.19,775.64,164740.36,100118.17
65,1453.12,105949.51,380.41,842.11,122595.15,0
30,1203.13,77519.11,389.48,680.74,118091.86,0
33,2642.24,42274.06,246.13,734.85,58303.74,27478.14
43,1037.04,31349.22,236.88,639.02,52483.76,0
18,3883.84,288605.16,932.62,747.4,328149.78,0
55,3735.11,39214.61,423.91,791.34,66402.87,29410.96
64,2684.22,218350.95,565.38,853.85,246482.47,152845.66
18,1611.23,34458.6,407.88,642.77,65436.42,0
61,2045.45,105075.67,388.42,896.26,181330.45,84060.54
60,1688.61,75015.14,333.17,739.885381135809,138895.43,60012.11
58,1364.79,19685.95,127.54,701.57,26031.2,13780.16
32,3064.33,117127.65,337.58,661.52,-999,81989.36
28,1354.06,7609.23,82.1,637.12,11941.07,0
18,2140.46,32645.54,163.1,608.06,35917.71,0
18,1671.81,17644.97,139.31,721.97,23615.91,11469.23
43,1973.51,27868.02,215.19,620.79,49088.98,0
64,3348.03,25849.09,138.06,709.49,32998.86,18094.36
40,2021.75,36294.77,205,698.25,64860.26,25406.34
54,2809.33,47711.47,233.57,616.26,80649.45,0
18,3136.81,100990.4,841.52,688.47,183703.74,65643.76
61,1678.74,22212.7,159.31,739.885381135809,34050.21,16659.53
61,2123.95,52152.58,248.85,818.81,72118.22,41722.06
57,3128.83,72377.75,271.71,868.29,123798.27,57902.2
55,3698.25,49607.22,194.92,714.22,76861.49,32244.69
59,2350.57,155415.53,609.91,837.48,221160.69,108790.87
28,5635.34,86112,438.06,635.5,142355.58,0
52,3019.22,282407.38,971.44,699.81,368376.84,197685.17
62,3301.15,24914.25,186.92,684,44721.76,0
31,2481.37,104912.22,408.34,823.43,187588.62,83929.78
41,2319.59,154689.77,406.76,782.55,196381.76,-999
36,2123.95,132263.08,500.43,646.05,250293.24,0
29,6170.05,19640.68,100.9,739.86,28770.5,0
44,2038.46,32246.88,359.75,653.3,36700.01,0
52,3652.54,60290.94,394.76,798.1,90879.54,42203.66
22,2404.06,176954.78,753.89,629.38,334995.6,0
38,2851.65,71229.02,286.93,739.885381135809,105789,53421.76
65,1560.02,29648.91,306.52,794.38,35838.91,20754.24
45,3140.7,44784.94,479.22,724.44,57788.41,29110.21
38,1973.51,112213.71,556.61,814.53,149678.71,84160.28
18,2165.87,19207.76,66.6,855.08,29691.19,14405.82
59,1921.55,137872.66,786.65,760.25,228937.1,96510.86
28,2719.89,166056.07,519.55,856.68,227903.42,132844.86
65,2123.95,102657.52,549.18,835.59,191179.76,76993.14
43,2123.95,44856.91,500.13,651.73,65079.69,29156.99
25,1395.23,38784.96,312.04,687.54,70402.77,27149.47
65,1345.33,58719.93,166.69,792.19,89073.93,46975.94
25,1947.86,249733.19,666.17,845.35,390337.74,187299.89
31,2022.57,66151.15,398.62,619.18,98420.33,0
40,2256.9,56374.14,275.59,712.26,76961.51,36643.19
64,2054.03,35372.65,186.98,694.72,43264.02,0
32,1917.54,110305.49,375.205,737.47,170604.8,71698.57
64,2383.88,94304.67,331.76,873.72,159299.82,75443.74
25,3355.93,122484.45,349.86,708.3,149461.31,85739.12
18,3068.1,140088.79,403.45,726.11,202394,98062.15
41,2123.95,7666.92,80.48,684.14,11041.11,4983.5
19,1276.51,28108.63,129.82,668.73,49175.43,19676.04
35,2779.3,109785.62,594.63,807.39,180786.38,82339.22
28,1553.34,109779.19,467.07,720.74,129780.73,76845.43
18,1896.77,87514.92,478.17,791.23,101389.24,65636.19
18,3427.23,64427.05,723.68,684.65,101056.16,45098.94
61,3496.85,175467.92,802.03,773.79,301466.79,122827.54
59,2844.55,131050.78,411.94,727.58,177418.52,85183.01
47,2795.43,39346.8,201.28,783.93,74328.89,27542.76
18,1676.6,30368.33,175.61,691.17,43019.87,21257.83
19,4948.66,231163.16,999.49,798.95,413976.38,184930.53
35,1755.05,41417.36,215.93,798.79,56623.09,31063.02
64,1975.22,31672.88,280.21,668.17,49795.21,22171.02
47,979.13,52872.11,250.49,683.58,75633.77,37010.48
45,2526.36,102012.88,490.26,669.96,189237.75,71409.02
62,681.87,71468.48,363.55,781.43,123365.57,35209.395
62,4840.19,135733.59,785.69,693.26,175778.88,88226.83
45,2123.95,72849.77,371.78,690.53,122846.79,47352.35
57,1367.78,62587.59,277.46,603.83,74475.7,0
18,6366.33,118550.23,465.43,725.7,-999,82985.16
18,936.62,86684.26,336.41,714.54,106848.86,56344.77
18,1236.55,202722.79,620,739.885381135809,355511.25,162178.23
65,2123.95,75834.97,441.79,831.45,91827.56,56876.23
55,3065.86,235537.77,647.84,752.57,388202.46,164876.44
20,1607.69,41145.84,188.43,727.72,59503.79,26744.8
27,1322.23,66647.24,299.25,777.35,86758.51,49985.43
48,1678.09,37662.62,426.44,727.29,64136.75,24480.7
62,2659.67,77419.92,269.78,855.81,130140.37,58064.94
18,2047.91,23436.12,375.205,778.05,43163.2,16405.28
23,2577.92,230113.44,797.9,698.65,406970.53,161079.41
62,7356.57,304135.78,1007.69,787.93,445829.27,243308.62
41,2123.95,46519.69,274.33,715.31,52888.64,32563.78
18,2462.42,42179.89,302.85,840.04,64347.9,31634.92
53,2100.74,67545.07,240.26,800.16,111736.29,54036.06
65,1826.46,120926.92,438.84,739.885381135809,166400.45,84648.84
18,2140.46,136756.06,628.37,821.86,251012.63,109404.85
18,2793.32,179368.02,507.09,627.38,306638.93,0
18,1650.46,43949.29,142.07,727.78,55699.88,30764.5
56,1341.67,24553.43,141.44,685.01,45527.13,0
58,1212.06,25914.56,261.83,645.11,48216.93,0
57,4506.43,94795.17,1022.01,865.58,117839.32,66356.62
39,1845.49,28262.98,139.95,669.66,45545.62,19784.09
46,1328.61,83898.46,398.03,698.54,102282.62,54534
53,3933.38,108368.58,475.68,746.27,127126.27,75858.01
45,865.41,53154.33,216.29,783.98,92140.79,42523.46
59,2140.46,121052.66,647.7,649.11,180666.86,0
56,2819.71,81955.97,311.89,680.41,149134.84,57369.18
18,1813.77,71220.19,692.22,750.06,134313.15,35209.395
41,2030.25,127074.43,380.73,621.71,188227.44,0
36,1587.5,77594.57,254.94,794.74,138424.01,58195.93
18,2165.87,271308.47,959.69,769.28,344872.79,189915.93
34,930.65,147198.51,431.84,773.41,238443.3,103038.96
45,4100.41,226318.9,587.57,734.39,334190.87,147107.28
55,1823.02,164010.97,434.33,724.22,271574.48,0
19,2240.9,145378.63,437.24,646.61,256683.71,0
50,2677.06,165826.3,636.79,649.1,227969.6,0
34,4874.3,123114.38,484.77,656.21,169380.56,86180.07
56,1388.99,67783.35,529.92,701.27,80305.66,47448.34
34,2526.36,130726.73,507.81,610.43,147631.87,0
42,2787.65,41759.51,475.12,781.68,76944.81,0
63,2453.28,64916.81,303.65,820.76,75311.08,51933.45
42,1002.43,32556.81,255.85,665.88,47694.56,22789.77
30,6587.4,135821.31,385.19,793.45,179068.9,0
18,1940.62,155067.52,453.77,808.19,291617.4,0
58,2446.91,121564.41,388.79,811.91,154407.37,97251.53
53,2293.9,19214.21,122.92,589.77,35172.64,0
42,2446.685,75992.65,408.73,656,96359.35,49395.22
65,1123.46,45096.67,315.75,840.45,83049.81,36077.34
24,1213.99,26149.12,124.67,719.93,29412.59,18304.38
50,2724.84,63199.75,345.89,630.43,113431.59,0
34,2426.79,65433.69,297.68,757.72,108343.99,49075.27
29,3438.9,167375.01,608.43,750.55,268717.92,133900.01
18,2431.93,89063.15,403.23,726.7,167707.58,57891.05
65,5191.72,37885.36,365.64,818.1,56507.73,26519.75
36,2664.96,237367.68,703.5,645.89,323740.54,0
22,1989.4,48613.85,232.21,709.77,80869.13,34029.7
28,1311.06,50270.7,301.11,792.07,65886.22,0
58,1214.93,24196.4,131.93,739.885381135809,33255.09,18147.3
60,3258.15,129111.42,406.46,858.58,224437.52,103289.14
37,3411.82,127792.5,360.27,770.24,204980.04,102234
39,4437.29,163023.28,844.31,665.8,260396.72,114116.3
48,2383.13,97890.25,465.94,763.91,107731.43,68523.18
26,1363.2,110952.73,564.44,667.3,209353.62,72119.27
18,1931.42,23054.82,375.205,739.885381135809,32068.05,16138.37
32,2225.07,39229.73,349.69,625.61,71769.15,0
61,1988.59,47055.94,230.84,737.59,66492.43,32939.16
37,1973.51,43515.79,209.42,724.6,64389.7,28285.26
61,3380.68,204714.63,527.71,815.51,253568.79,153535.97
42,2140.46,25435.12,130.95,665.62,34147.06,17804.58
18,2413.69,11684.43,113.71,739.885381135809,21724.26,8179.1
49,2140.46,37786.14,487.22,691.78,44742.85,24560.99
57,1504.03,41182.72,160.13,646.42,77974.2,0
52,3355.93,231172.43,767.44,754.14,326039.53,184937.94
29,2148.76,150107.08,914.21,754.07,201308.31,112580.31
57,3294.43,54157.63,457.83,684.21,92281.04,37910.34
18,5435.62,97173.35,459.47,766.83,169547.62,72880.01
18,3518.28,18584.79,94.3,780.95,26713.92,14867.83
21,2464.81,35945.85,377.15,803.59,52916.33,25162.09
58,2551.06,127627.34,365.74,727.69,228791.69,0
18,3239.38,52116.14,320.02,712.78,90188.79,36481.3
49,1551.92,54905.99,287.87,693.26,63141.76,38434.19
18,1849.34,115740.66,447.26,718.84,194181.88,81018.46
49,4402.01,193119.02,756.19,826.54,251896.85,0
19,3440.7,157399.46,490.7,808.48,295754.04,125919.57
53,2803.71,40795.48,468.03,603.91,57889.2,0
65,1824.3,79737.96,347.62,720.22,143036.49,51829.67
58,1015.06,70395.14,415.83,620.76,120772.34,0
45,5939.75,93591.83,939.69,739.885381135809,131628.72,0
18,2348.9,201283.92,778.87,816.98,284618.89,150962.94
52,3323.58,159843.56,447.14,847.98,287005.75,127874.85
44,2117.04,97261.42,419.57,765.52,129472.26,0
18,3010.34,35121.21,281.17,678.22,46165.92,24584.85
47,2061.24,69833.51,377.66,739.885381135809,114733.55,-999
18,2069.1,142390.19,440.99,831.58,227949.6,99673.13
61,2498.39,132913.76,969.19,775.81,196447.86,99685.32
52,3078.63,77628.89,375.96,687.74,86264.67,0
18,1847.08,132436.09,365.48,645.78,199705.96,0
43,1684.18,39165.04,235.29,633.93,60749.54,0
30,3355.93,27665.83,136.62,739.885381135809,47153.35,22132.66
21,1964.58,40023.59,366.11,766.55,63380.21,32018.87
59,1739.73,91551.32,500.21,675.74,150161.02,64085.92
38,1976.52,39767.17,161.42,799.67,73504.68,29825.38
36,2123.95,13763.99,72.6,806.5,17673.2,11011.19
58,2432.93,38194.86,186.24,685.84,57125.99,24826.66
63,1723.05,61655.86,395.12,623.57,78081.01,0
18,2404.06,287561.7,1021.12,763.74,421307.77,201293.19
55,3355.93,137158.44,605.34,739.885381135809,185076.42,96010.91
63,2614.83,49002.51,503.29,834.56,65478.26,39202.01
55,7300.9,81788.23,577.05,790.75,137298.05,61341.17
59,3367.01,178313.8,510.94,739.885381135809,205261.64,124819.66
26,3838.44,158715.06,667.43,678.22,220850.72,103164.79
46,6694.96,95834.23,472.13,681.95,168798.6,62292.25
18,1273.08,28312.12,158.85,680.4,49801.61,19818.48
53,4977.51,82235.12,612.36,755.85,113267.93,61676.34
24,2443.72,40741.73,192.92,621.75,65714.11,0
18,3369.16,168465.15,551.13,638.58,248289.45,0
29,4748.09,380274.48,966.87,870.37,666929,323233.31
56,2581.09,145688.34,439.16,777.84,257195.53,101981.84
21,1274.2,40390.04,179.61,841.49,54667.67,0
58,2194.03,49786.44,251.27,718.22,84963.79,32361.19
29,2183.62,88612.59,461.42,700.83,153053.87,62028.81
51,1302.24,27492.39,124.69,729.93,51833.6,17870.05
61,1362.3,30540.54,216.58,865.87,51295.67,22905.4
39,2165.87,15652.33,141.25,743.49,26325.99,10174.01
23,3063.98,81151.88,402.82,739.885381135809,99852.95,52748.72
53,2759.52,145075.55,652.8,712.91,253659.27,0
18,5203.03,157747.73,760.1,717.93,260733.29,35209.395
53,2981.94,65261.57,323.39,868.02,95776.45,48946.18
64,1122.35,34674.69,162.98,777.56,60930.56,0
52,2645.67,138745.89,587.76,652.37,190522.71,0
18,2980.76,123802.4,632.63,708.47,207164.5,86661.68
18,2839.41,102667.62,421.05,635.7,153338.75,0
64,3020.98,103147.72,473.58,873.04,123894.27,103147.72
18,4031.91,129053.41,503.35,823.69,238074.44,103242.73
65,2123.95,37308.76,382.84,859.24,54705.07,29847.01
65,1935.26,51248.02,198.76,765.75,78271.22,35873.61
46,1057.81,116473.62,355.88,815.3,215668.79,81531.53
64,1918.86,9407.96,54.52,845.77,14905.53,7526.37
62,2443.32,72184.37,385.5,688.12,103639,0
40,3976.15,80643.79,499.43,621.49,94942.31,0
65,1312.42,22923.56,200.98,826.39,30250.63,0
47,2054.61,76828.62,435.49,812.67,111504.91,0
20,4050.96,78760.48,521.79,651.25,122428.79,55132.34
61,3829.07,52596.45,303.06,856.99,77117.25,42077.16
21,5544.39,106346.5,441.2,820.43,136118.47,79759.88
18,2420.74,181985.13,537.24,824.51,200599.26,136488.85
25,2854.74,23447.13,281.75,755.56,33899.78,16412.99
29,2310.17,33929.16,208.94,681.01,49982.72,0
18,2437.44,21375.71,121.7,645.53,32235.4,0
18,3740.85,99914.45,417.53,621.29,185294.08,0
41,1516.85,67496.73,185.48,739.885381135809,118187.93,50622.55
18,2509.21,34969.96,269.33,739.885381135809,59745.58,24478.97
27,2738.3,40607.93,425.73,739.885381135809,-999,28425.55
22,2723.57,116751.89,443.93,755.63,185976.75,93401.51
29,1746.64,79535.4,353.29,701.47,136303.55,51698.01
44,4392.78,137581.27,619.42,734,178730.45,0
37,1766.01,167159.98,483.97,747.24,231182.16,117011.99
23,1874.51,58601.27,315.96,827.01,85125.5,41020.89
52,1538.48,59048.32,221.91,734.69,66540.54,38381.41
55,2177.2,74209.89,345.57,829.06,110343.3,59367.91
37,2173.06,179727.43,709.02,739.885381135809,312012.13,116822.83
32,2570.82,89601.05,429.93,774.84,159770.62,67200.79
21,3914.97,116092.5,574.54,681.22,179470.9,75460.12
45,2446.685,23083.63,179.04,737.7,36372.98,16158.54
54,2641.06,132881.15,639.32,661.24,161728.05,0
27,1118.71,57281.52,164.62,674.85,103372.14,37232.99
48,3867.67,140690.9,537.63,635.79,205882.3,0
26,5304.23,105553.31,673.65,748.11,141524.63,73887.32
48,1930.53,194108.43,606.94,838.55,263700.74,145581.32
22,2652.35,202842.18,580.44,746.06,361845,0
18,1969.04,114462.24,343.52,810.41,212780.86,91569.79
29,2900.43,55452.73,329.07,773.81,94806.86,41589.55
65,1655.98,42981.89,366.91,586.87,55947.21,0
18,3355.93,17404.73,114.6,620.17,24300.48,0
44,1008.04,18697.83,141.45,603.29,30797.33,0
21,2123.95,84537.71,259.94,778.85,145380.52,59176.4
60,1777.31,163944.81,479.86,653.38,279780.58,106564.13
55,2648.45,106900.35,440.04,678.3,170409.25,74830.24
51,2119.92,107700.57,891.41,729.55,157016.72,0
59,2350.05,61546.92,350.95,855.47,101548.86,49237.54
